,Compound,Negative,Neutral,Positive,Time Stamp,Tweet,Tweet_Ago,User
53,-0.6249,0.177,0.823,0.0,02-19-2018 12:38:47,"RT @BBCSport: It was skater Gabriella Papadakis 'worst nightmare at the Olympics' when her dress came undone mid-performance. 

⛸👉 https://…",53,@BBCWorld
54,-0.6369,0.321,0.679,0.0,02-19-2018 05:36:59,Winter Olympics: Alexander Krushelnitsky named as Russian suspected of failed doping test https://t.co/tWCSJdut5X,54,@BBCWorld
55,0.0,0.0,1.0,0.0,02-18-2018 12:40:49,Giant pandas perform roly-polys in the snow as they go on show for the first time at a Finland zoo. 🐼🐼❄️ https://t.co/D9t0aTCxWe,55,@BBCWorld
56,0.1027,0.197,0.574,0.23,02-17-2018 16:35:01,Grace Mugabe PhD: Arrest made over corruption allegations https://t.co/f6d8GvGOHj,56,@BBCWorld
57,-0.8402,0.532,0.39,0.078,02-17-2018 08:40:55,Pakistan: Zainab Ansari's killer gets four death sentences https://t.co/11NIeG9BRU,57,@BBCWorld
58,-0.5106,0.32,0.68,0.0,02-16-2018 17:54:48,FBI failed to act on gunman concerns https://t.co/Zu6uQsTtMt,58,@BBCWorld
59,-0.4767,0.279,0.721,0.0,02-16-2018 12:56:59,New York ex-teacher and twin arrested for bomb-making https://t.co/oo2n3TcO7c,59,@BBCWorld
60,0.5574,0.0,0.735,0.265,02-16-2018 05:32:38,Chinese New Year food: How to get rich tossing fish https://t.co/IfD86WOudo,60,@BBCWorld
61,-0.34,0.405,0.595,0.0,02-15-2018 17:07:10,Florida shooting: Trump warns against inaction https://t.co/s7C503TyWn,61,@BBCWorld
62,0.0,0.0,1.0,0.0,02-15-2018 12:27:39,Chinese woman joins handbag in X-ray machine https://t.co/KfzGsgZqBl,62,@BBCWorld
63,-0.4215,0.237,0.763,0.0,02-15-2018 05:13:42,"'Guns and survivalists, but no school until I was 17' https://t.co/nYGLPJuywa",63,@BBCWorld
64,0.0,0.0,1.0,0.0,02-14-2018 23:10:38,Maldives opposition MPs forcibly moved from parliament https://t.co/k2wPGY8vwk,64,@BBCWorld
65,0.0,0.0,1.0,0.0,02-14-2018 17:53:57,Maid left to 'sleep outside with dog' dies https://t.co/RH2owukj29,65,@BBCWorld
66,0.0,0.0,1.0,0.0,02-14-2018 13:27:07,European Union grows at fastest pace for 10 years https://t.co/c0NWvVodc9,66,@BBCWorld
67,0.0,0.0,1.0,0.0,02-14-2018 04:48:06,World chess body accounts closed over president's Syria sanctions https://t.co/QkqnXiTXNV,67,@BBCWorld
68,-0.6249,0.406,0.594,0.0,02-13-2018 17:01:16,Cape Town drought declared a 'national disaster' https://t.co/MnTXt0cPM1,68,@BBCWorld
69,-0.1537,0.167,0.833,0.0,02-13-2018 12:18:22,Being a surrogate in Ukraine is 'not without risk' https://t.co/rE2rKbv9Y6,69,@BBCWorld
70,0.128,0.215,0.47,0.315,02-13-2018 04:58:57,Australia's apology to Stolen Generations: 'It gave me peace' https://t.co/RbqtrCpxmS,70,@BBCWorld
71,-0.4215,0.318,0.682,0.0,02-12-2018 23:32:05,Baltimore police guilty of robbing citizens https://t.co/tAiWA0bo79,71,@BBCWorld
72,0.296,0.0,0.901,0.099,02-12-2018 17:22:00,"""This is the week for decision time"" - Mary Lou McDonald, Leader of Sinn Féin on talks to restore Northern Ireland'… https://t.co/SRH2sw2pO3",72,@BBCWorld
73,-0.4215,0.296,0.526,0.178,02-12-2018 10:15:23,Indian woman killed by 'celebratory gunshots' at wedding party https://t.co/7iRakUbls6,73,@BBCWorld
74,-0.5267,0.327,0.673,0.0,02-12-2018 00:42:42,Inside the world of extreme 'terror pranking' https://t.co/CCq7PXnHjU,74,@BBCWorld
75,-0.4939,0.47,0.303,0.227,02-11-2018 07:27:12,Grand Canyon helicopter crash kills three https://t.co/B4TJFhJuHu,75,@BBCWorld
76,0.2023,0.0,0.87,0.13,02-10-2018 14:15:57,"Saudi women should not have to wear long robes, top cleric says https://t.co/NCjqURfanM",76,@BBCWorld
77,-0.644,0.2,0.8,0.0,02-09-2018 23:22:20,"RT @BBCNorthAmerica: President Trump is constantly talking about the US trade deficit. 
But what is it? And should we be worried about it?…",77,@BBCWorld
78,0.0,0.0,1.0,0.0,02-09-2018 15:22:58,"RT @BBCSport: The moment the Olympic rings came together... incredible!
#bbcolympics #openingceremony #WinterOlympics2018 https://t.co/KnRs…",78,@BBCWorld
79,-0.7088,0.214,0.786,0.0,02-09-2018 12:14:07,"RT @BBCSport: From Rio to Pyeongchang... 

The climate may change, but Pita Taufatofua remains the same! 

#bbcolympics #openingceremony #w…",79,@BBCWorld
80,0.0,0.0,1.0,0.0,02-09-2018 04:51:00,Jarrod Bannister: Commonwealth Games javelin gold medallist dies https://t.co/BEwS4kcHkK,80,@BBCWorld
